Cell lines,ER,PR,HER2,"BRCA1
Mutation",Subtype,Series,Basic Medium,Tumor,Source,References
BT483,+,+/-,-,WT,LA,BT,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
CAMA1,+,+/-,-,WT,LA,NA,DMEM,AC,L,"[1, 5, 6, 10]"
EFM19,+,+,-,ND,LA,EFM,RPMI,IDC,L,"[8, 10]"
HCC1428,+,+,-,ND,LA,HCC,RPMI,AC,L,"[5, 8]"
HCC712,+,+/-,-,ND,LA,HCC,RPMI,DC,L,[8]
IBEP2,+,-,-,ND,LA,NA,DMEM,IDC,L,[10]
KPL1,+,-,-,ND,LA,NA,RPMI,IDC,L,"[10, 61]"
LY2,+,-,-,ND,LA,NA,DMEM,IDC,L,[5]
MCF7,+,+,-,WT,LA,MCF,"RPMI, DMEM",IDC,L,"[1, 5, 6, 8, 10, 58]"
MDAMB134,+,-,-,ND,LA,MDA,RPMI,IDC,L,[8]
MDAMB134VI,+,-,-,WT,LA,MDA,DMEM,IDC,L,"[1, 5, 6, 10]"
MDAMB175,+,-,-,ND,LA,MDA,RPMI,IDC,L,[8]
MDAMB175VII,+,-,-,WT,LA,MDA,DMEM,IDC,L,"[1, 5, 6, 10]"
MDAMB415,+,+/-,-,WT,LA,MDA,DMEM,AC,L,"[5, 6, 10]"
T47D,+,+,-,WT,LA,NA,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
ZR751,+,+/-,-,WT,LA,ZR75,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
ZR75B,+,-,-,ND,LA,ZR75,RPMI,NA,L,[5]
BSMZ,+,+,+,ND,LB,NA,RPMI,IDC,L,"[10, 19]"
BT474,+,+,+,WT,LB,BT,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
EFM192A,+,+,+,ND,LB,EFM,RPMI,AC,L,[8]
IBEP1,-,+,+,ND,LB,IBEP,DMEM,IDC,L,[10]
IBEP3,-,+,+,ND,LB,IBEP,DMEM,IDC,L,[10]
MDAMB330,+,-,+,WT,LB,MDA,RPMI,ILC,L,"[1, 6, 10]"
MDAMB361,+,+/-,+,WT,LB,MDA,"RPMI, DMEM",AC,L,"[1, 5, 6, 8, 10]"
UACC812,+,+/-,+,WT,LB,UACC,"RPMI, DMEM",IDC,L,"[1, 5, 6, 8, 10]"
ZR7527,+,-,+,WT,LB,ZR75,RPMI,IDC,L,[60]
ZR7530,+,-,+,WT,LB,ZR75,RPMI,IDC,L,"[1, 5, 6, 8, 10]"
21MT1,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
21MT2,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
21NT,-,+/-,+,ND,H,21,α-MEM/DFC1,IDC,L,[15]
