Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
Tanespimycin,151069,CCLE,17-AAG,Broad DRH,Phase 3,HSP inhibitor,HSP90AA1
AEW541,11476171,CCLE,AEW541,Broad DRH,Preclinical,IGF-1 inhibitor,IGF1R|INSR
Saracatinib,10302451,CCLE,AZD0530,Broad DRH,Phase 2/Phase 3,src inhibitor,ABL1|LCK|SRC|YES1
Selumetinib,10127622,CCLE,AZD6244,Broad DRH,Phase 3,MEK inhibitor,MAP2K1
Erlotinib,176870,CCLE,Erlotinib,Broad DRH,Launched,EGFR inhibitor,EGFR|NR1I2
SN-38,104842,CCLE,Irinotecan,Broad DRH,Launched,topoisomerase inhibitor,TOP1
L-685458,3849,CCLE,L-685458,CTRP_V2,,0,APH1A|NCSTN|PSEN1|PSENEN
Lapatinib,208908,CCLE,Lapatinib,Broad DRH,Launched,EGFR inhibitor,EGFR|ERBB2
LBW242,11503417,CCLE,LBW242,CCLE,,0,XIAP
Nilotinib,644241,CCLE,Nilotinib,Broad DRH,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT
Nutlin-3a (-),11433190,CCLE,Nutlin-3,Broad DRH,Preclinical,MDM inhibitor,MDM2|TP53
Paclitaxel,4666,CCLE,Paclitaxel,Broad DRH,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBB|TUBB1
Panobinostat,6918837,CCLE,Panobinostat,Broad DRH,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9
PD0325901,9826528,CCLE,PD-0325901,Broad DRH,Phase 2,MEK inhibitor,MAP2K1
Palbociclib,5330286,CCLE,PD-0332991,Broad DRH,Launched,CDK inhibitor,CDK4|CDK6
Crizotinib,11597571,CCLE,PF2341066,Broad DRH,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET
PHA-665752,10461815,CCLE,PHA-665752,Broad DRH,Preclinical,c-Met inhibitor,MET
PLX-4720,24180719,CCLE,PLX4720,Broad DRH,Preclinical,RAF inhibitor,BRAF|KDR
RAF265,11656518,CCLE,RAF265,Broad DRH,Phase 2,RAF inhibitor|VEGFR inhibitor,BRAF
Sorafenib,216239,CCLE,Sorafenib,Broad DRH,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET
NVP-TAE684,16038120,CCLE,TAE684,Broad DRH,Preclinical,ALK tyrosine kinase receptor inhibitor,ALK|INSR
