Drug	Drug Target	Effect size	P-value	FDR%	No. of altered cell lines	Tissue analysis
Nutlin-3a (-)	MDM2	1.3	1.79e-53	8.04e-49	508	PANCANCER
Oxaliplatin	DNA alkylating agent	0.422	1.4e-07	0.00867	525	PANCANCER
Oxaliplatin	DNA alkylating agent	0.441	2.98e-07	0.0149	473	PANCANCER
ERK_2440	ERK1,ERK2	0.485	5.44e-06	0.147	472	PANCANCER
ERK_6604	ERK1,ERK2	0.38	3.79e-05	1.26	472	PANCANCER
Dactinomycin	RNA polymerase	0.423	4.89e-05	1.06	488	PANCANCER
Dactinomycin	-	0.389	0.000186	9.65	473	PANCANCER
Epirubicin	Anthracycline	0.472	0.000187	6.16	491	PANCANCER
SCH772984	ERK1, ERK2	0.274	0.000989	22.1	527	PANCANCER
5-Fluorouracil	Antimetabolite (DNA & RNA)	0.301	0.00118	31.9	529	PANCANCER
Ruxolitinib	JAK1, JAK2	0.308	0.00152	43.5	472	PANCANCER
Trametinib	MEK1, MEK2	0.266	0.00179	18.2	506	PANCANCER
AZD5153	BRD4	0.359	0.00252	39.6	471	PANCANCER
Selumetinib	MEK1, MEK2	0.284	0.00288	25	472	PANCANCER
MK-1775	WEE1, PLK1	-0.109	0.00291	28.2	506	PANCANCER
Palbociclib	CDK4, CDK6	0.358	0.00307	38.4	506	PANCANCER
Ulixertinib	ERK1, ERK2	0.286	0.00803	83.2	491	PANCANCER
AZD1332	NTRK1, NTRK2, NTRK3	0.293	0.00845	28.6	472	PANCANCER
AZ960	JAK2, JAK3	0.313	0.00937	37.1	470	PANCANCER
PD0325901	MEK1, MEK2	0.268	0.0153	74.9	526	PANCANCER
Cytarabine	Antimetabolite	0.305	0.0166	43.5	491	PANCANCER
Sabutoclax	BCL2,  BCL-XL,  BFL1, MCL1	0.308	0.0187	27.3	472	PANCANCER
BMS-536924	IGF1R, IR	0.218	0.0191	31.9	491	PANCANCER
JAK1_8709	JAK1	0.322	0.0201	62.2	472	PANCANCER
WZ4003	NUAK1, NUAK2	0.356	0.0214	88.6	473	PANCANCER
Niraparib	PARP1, PARP2	0.325	0.0225	41.5	472	PANCANCER
Talazoparib	PARP1, PARP2	0.294	0.0227	72.2	489	PANCANCER
Sorafenib	PDGFR, KIT, VEGFR, RAF	0.23	0.0238	55.6	496	PANCANCER
JAK_8517	JAK1, JAK2	0.256	0.0253	45.9	472	PANCANCER
Dabrafenib	BRAF	0.379	0.0273	89.4	498	PANCANCER
